Дата;Базовый уровень;Изменение кол-ва магазинов;Развитие ecom;Уход конкурентов;Мобилизация;Скидки;COVID;Черная пятница;Площадь магазинов;Праздничные открытия;Праздничные открытия - блогеры;Изменение цен;SMS;Реклама GJ;Реклама конкурентов;COVID - Самоизоляция и закрытие магазинов;Отложенный спрос после самоизоляции
2019_01;1317099,244;0;0;0;0;214671,0187;0;0;0;0;0;0;0,397438064;2270,297789;-86185,44024;0;0
2019_02;1346517,675;0;-1167,537623;0;0;181827,8385;0;0;0;0;0;12796,37806;0,187797513;2311,240168;-119968,6718;0;0
2019_03;1206812,97;-7043,65547;-2154,527089;0;0;258802,0551;0;0;26,40747092;0;0;-35445,67025;21280,4014;1838,545133;-103937,7705;0;0
2019_04;1121001,182;-6542,808455;-3041,298636;0;0;222334,6803;0;0;35,17274918;0;0;-16325,90879;19767,19703;1859,050297;-72338,88569;0;0
2019_05;1050655,797;-6132,232279;-3849,393957;0;0;169884,8757;0;0;35,23851879;3172,604546;0;-394,0878655;12276,78178;5935,086424;-64000,5261;0;0
2019_06;1130329,725;-8796,340275;-5231,547239;0;0;160659,8947;0;0;28,57645163;4087,814237;0;13275,07043;10656,62762;7448,063034;-58959,73109;0;0
2019_07;1250377,698;-7297,924309;-7044,152306;0;0;157870,4599;0;0;31,67342988;4537,245866;0;21684,65689;42716,13946;3982,16376;-63016,32758;0;0
2019_08;1406055,391;-8358,100698;-9526,07496;0;0;168978,738;0;0;42,77683368;13840,21875;0;34304,86872;47359,31817;2047,840264;-71787,25056;0;0
2019_09;1179440,996;-4589,264574;-9091,058935;0;0;123130,3671;0;0;47,88760558;19784,76312;0;14883,30892;147282,8506;1900,271804;-70211,41725;0;0
2019_10;1451720,753;-8473,078328;-12710,50193;0;0;154218,0041;0;0;49,283863;17598,14817;0;11704,68553;172618,3627;2508,083327;-112385,7643;0;0
2019_11;1184685,745;-4609,672159;-11679,78882;0;0;115228,6578;0;0;40,29710804;6841,692097;0;9332,08441;358686,9859;2452,199657;-95497,55475;0;0
2019_12;1306565,314;-5083,911727;-14328,85632;0;0;110183,9221;0;0;44,32345702;5880,766177;0;13677,50703;293711,6838;4266,114316;-113807,1763;0;0
2019_13;1209346,443;-7058,442272;-14599,53819;0;0;85238,04916;0;0;16,81689279;1086,511816;0;3435,929866;415742,9794;5742,413876;-150517,2642;0;0
2019_14;1365414,272;-5312,895999;-18086,20031;0;0;111674,0487;0;0;19,02429286;4437,093419;0;24492,70545;193130,0747;8386,852223;-205220,6737;0;0
2019_15;1699455,33;-3306,333327;-24548,50896;0;0;121799,0727;0;0;23,80992012;11954,35544;0;9749,216058;98580,21509;85236,08563;-308775,2337;0;0
2019_16;1844872,651;-3589,246402;-28851,23994;0;0;143307,0021;0;0;39,56983516;8697,260591;0;9095,890859;74339,22431;154282,8132;-376573,0471;0;0
2019_17;1804468,919;3510,639921;-30528,58752;0;0;119157,7243;0;0;38,85412369;7482,101974;0;8048,968769;54173,32099;181352,0839;-373988,0263;0;0
2019_18;1902483,665;11526,91796;-35998,8232;0;0;129323,2561;0;0;28,84552242;35338,96264;0;-9337,147867;24651,04899;233814,9106;-305182,944;0;0
2019_19;2253446,644;13550,14083;-45251,30174;0;0;165135,8729;0;0;24,26492005;47347,85132;0;9049,62154;144102,8615;113601,2304;-331914,6119;0;0
